"PID","practice","trial","run","task","stimulus_duration","iti","is_odd_ball","path","response","rt"
NA,0,NA,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/pietro-de-grandi-T7K4aEPoGGk-unsplash.jpg",NA,NA
NA,0,NA,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/dawid-zawila--G3rw6Y02D0-unsplash.jpg",NA,NA
NA,0,NA,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/john-mark-arnold-XNIjmb6Ax04-unsplash.jpg",NA,NA
NA,0,NA,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/leonard-cotte-c1Jp-fo53U8-unsplash.jpg",NA,NA
NA,0,NA,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/jeremy-cai-ucYWe5mzTMU-unsplash.jpg",NA,NA
NA,0,NA,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/adam-kool-ndN00KmbJ1c-unsplash.jpg",NA,NA
NA,0,NA,1,"outdoor_scenes",400,14000,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/marcelo-quinan-u0ZgqJD55pE-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/danie-franco-A6O7pgc7vHg-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/sean-kong--1B_y4wGs-s-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/etty-fidele-nF8eo2nX374-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/jake-nackos-IF9TK5Uy-KI-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/james-marty-h1BuNJZzpC8-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/ivana-cajina-_7LbC5J-jw4-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/whereslugo-zl_fPgiwduo-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,1,"Stimuli/Experimental_stims/localizer/faces/aleksandar-popovski-Jy4ELSGPHTc-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/christopher-campbell-rDEOVtE7vOs-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/filipe-almeida-mnEWC72eWDM-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/prince-akachi-LWkFHEGpleE-unsplash.jpg",NA,NA
NA,0,NA,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/matheus-ferrero-W7b3eDUb_2I-unsplash.jpg",NA,NA
