PID,practice,trial,run,task,stimulus_duration,iti,is_odd_ball,path,response,rt,version,no_response,acc
40201,0,120,1,outdoor_scenes,400,300,1,Stimuli/Experimental_stims/localizer/outdoor_scenes/wai-siew-mTFyV8oNDzU-unsplash.jpg,1,13,2,0,1
40201,0,121,1,outdoor_scenes,400,300,0,Stimuli/Experimental_stims/localizer/outdoor_scenes/benjamin-davies-Zm2n2O7Fph4-unsplash.jpg,1,111,2,0,0
40201,0,122,1,outdoor_scenes,400,300,0,Stimuli/Experimental_stims/localizer/outdoor_scenes/quino-al-vmZ2DehWQ3Q-unsplash.jpg,1,148,2,0,0
40201,0,123,1,outdoor_scenes,400,300,0,Stimuli/Experimental_stims/localizer/outdoor_scenes/ricardo-gomez-angel-dTSaC-S-7fs-unsplash.jpg,1,164,2,0,0
40201,0,124,1,outdoor_scenes,400,300,0,Stimuli/Experimental_stims/localizer/outdoor_scenes/jack-millard-zjyP-UYI-ko-unsplash.jpg,0,177,2,0,1
40201,0,125,1,outdoor_scenes,400,300,0,Stimuli/Experimental_stims/localizer/outdoor_scenes/dave-hoefler-lsoogGC_5dg-unsplash.jpg,0,170,2,0,1
40201,0,126,1,outdoor_scenes,400,14000,0,Stimuli/Experimental_stims/localizer/outdoor_scenes/eberhard-grossgasteiger-y2azHvupCVo-unsplash.jpg,1,172,2,0,0
40201,0,127,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/ian-dooley-d1UPkiFd04A-unsplash.jpg,1,157,2,0,0
40201,0,128,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/chanvre-quebec-mXu1SpzHq6w-unsplash.jpg,0,94,2,0,1
40201,0,129,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/jurica-koletic-7YVZYZeITc8-unsplash.jpg,1,109,2,0,0
40201,0,130,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/katsiaryna-endruszkiewicz-BteCp6aq4GI-unsplash.jpg,0,101,2,0,1
40201,0,131,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/jeffery-erhunse-BQMZ5ligqps-unsplash.jpg,1,150,2,0,0
40201,0,132,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/ethan-haddox-__ng3cRXmFE-unsplash.jpg,0,74,2,0,1
40201,0,133,1,faces,400,300,1,Stimuli/Experimental_stims/localizer/faces/rui-silvestre-hAMJpesMeDE-unsplash.jpg,1,133,2,0,1
40201,0,134,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/sean-kong--1B_y4wGs-s-unsplash.jpg,0,125,2,0,1
40201,0,135,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/elijah-hiett-umfpFoKxIVg-unsplash.jpg,1,160,2,0,0
40201,0,136,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,1,16,2,0,0
40201,0,137,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/matheus-ferrero-W7b3eDUb_2I-unsplash.jpg,0,74,2,0,1
40201,0,138,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/imansyah-muhamad-putera-n4KewLKFOZw-unsplash.jpg,0,226,2,0,1
40201,0,139,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/philip-martin-5aGUyCW_PJw-unsplash.jpg,0,99,2,0,1
40201,0,140,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/foto-sushi-6anudmpILw4-unsplash.jpg,1,174,2,0,0
40201,0,141,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/jimmy-fermin-bqe0J0b26RQ-unsplash.jpg,0,229,2,0,1
40201,0,142,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/joseph-gonzalez-iFgRcqHznqg-unsplash.jpg,0,37,2,0,1
40201,0,143,1,faces,400,300,1,Stimuli/Experimental_stims/localizer/faces/prince-akachi-LWkFHEGpleE-unsplash.jpg,1,7,2,0,1
40201,0,144,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/binh-ly-k_4A59MzZTY-unsplash.jpg,0,2,2,0,1
40201,0,145,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/ben-scott-tWb7IsL9CnY-unsplash.jpg,1,55,2,0,0
40201,0,146,1,faces,400,14000,0,Stimuli/Experimental_stims/localizer/faces/hassan-khan-EGVccebWodM-unsplash.jpg,0,29,2,0,1
40201,0,147,1,outdoor_scenes,400,300,0,Stimuli/Experimental_stims/localizer/outdoor_scenes/wil-stewart-pHANr-CpbYM-unsplash.jpg,0,135,2,0,1
40201,0,148,1,outdoor_scenes,400,300,0,Stimuli/Experimental_stims/localizer/outdoor_scenes/mark-harpur-K2s_YE031CA-unsplash.jpg,1,15,2,0,0
