"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","no_response","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","run","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","duration","onset","duration_time_elapsed","onset_time_elapsed","warning","trial_duration","scramble_acc","scramble_no_response"
"","deliberation","","html-keyboard-response","63","38656","0.0-3.0-6.0-0.0","44","50477","1","3","","","","68","","2","","","37142","","","","","","","","","","0","prac3","1","1500","right","scramble","3000","0","0","","","","","Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg","","","1500","2400","1514","3980","","","",""
"","scramble_prompt","","html-keyboard-response","64","38666","0.0-3.0-6.0-1.0-0.0","44","50477","1","null","","","","null","","2","","","38656","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","0","","","","","","","","","","-500","3900","10","5494","","-500","0","1"
"","deliberation_no_response","","html-keyboard-response","65","38774","0.0-3.0-6.0-3.0-0.0","44","50477","1","null","","","","null","","2","","","38666","","","","","","","","","","1","","","","","","","0","","","","","","","","","","100","3400","108","5504","1","","",""
"","iti","","html-keyboard-response","66","38886","0.0-3.0-6.0-4.0","44","50477","1","null","","","","null","","2","","","38774","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","3500","112","5612","","100","",""
"","deliberation","","html-keyboard-response","67","38917","0.0-3.0-8.0-0.0","44","50477","1","27","","","","68","","3","","","38886","1","","","","","","","Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg","0","prac4","1","0","","original","2000","0","0","","","","","Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg","","","27","3600","31","5724","","","",""
"","deliberation_confirmation","","html-keyboard-response","68","39901","0.0-3.0-8.0-2.0-0.0","44","50477","1","null","","","","null","","3","","","38917","","","","","","","","","","","","","","","","","0","","","","","","","","","","973","3627","984","5755","","973","",""
"","iti","","html-keyboard-response","69","40006","0.0-3.0-8.0-4.0","44","50477","1","null","","","","null","","3","","","39901","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","4600","105","6739","","100","",""
"","practice_over","","html-keyboard-response","70","40235","0.0-3.0-8.0-5.0-0.0","44","50477","1","226","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_run","","html-keyboard-response","71","41341","0.0-3.0-8.0-5.0-1.0","44","50477","1","1103","","","","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","72","42854","0.0-3.0-10.0-0.0","44","50477","1","235","","","","68","","4","","","41341","","","","","","","","","","0","C","0","1500","right","scramble","3500","1","1","8","30","outdoor_scenes","body_parts","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_samsommer-vddccTqwal8-unsplash.jpg","Stimuli/Experimental_stims/scramble/body_parts/scrambled_mika-korhonen-Xodzxosar18-unsplash.jpg","NaN","NaN","1500","0","1513","0","","","",""
"","scramble_prompt","","html-keyboard-response","73","42860","0.0-3.0-10.0-1.0-0.0","44","50477","1","null","","","","null","","4","","","42854","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","1","","","","","","","","","","-500","1500","6","1513","","-500","0","1"
"","deliberation_no_response","","html-keyboard-response","74","42967","0.0-3.0-10.0-3.0-0.0","44","50477","1","null","","","","null","","4","","","42860","","","","","","","","","","1","","","","","","","1","","","","","","","","","","100","1000","107","1519","1","","",""
"","iti","","html-keyboard-response","75","43077","0.0-3.0-10.0-4.0","44","50477","1","null","","","","null","","4","","","42967","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","1100","110","1626","","100","",""
"","deliberation","","html-keyboard-response","76","44391","0.0-3.0-12.0-0.0","44","50477","1","160","","","","68","","5","","","43077","","","","","","","","","","0","J","0","1300","right","scramble","2700","1","1","16","45","faces","objects","Stimuli/Experimental_stims/scramble/faces/scrambled_freddy-kearney-o-ioeoATbIM-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_leohoho-rngTKHXumy0-unsplash.jpg","NaN","NaN","1300","1200","1314","1736","","","",""
"","scramble_prompt","","html-keyboard-response","77","44400","0.0-3.0-12.0-1.0-0.0","44","50477","1","null","","","","null","","5","","","44391","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","1","","","","","","","","","","-300","2500","9","3050","","-300","0","1"
"","deliberation_no_response","","html-keyboard-response","78","44510","0.0-3.0-12.0-3.0-0.0","44","50477","1","null","","","","null","","5","","","44400","","","","","","","","","","1","","","","","","","1","","","","","","","","","","100","2200","110","3059","1","","",""
"","iti","","html-keyboard-response","79","44621","0.0-3.0-12.0-4.0","44","50477","1","null","","","","null","","5","","","44510","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","2300","111","3169","","100","",""
"","deliberation","","html-keyboard-response","80","44708","0.0-3.0-14.0-0.0","44","50477","1","83","","","","68","","6","","","44621","1","46","34","objects","body_parts","50","50","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg","0","E","0","0","","original","1000","1","1","46","34","objects","body_parts","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg","50","50","83","2400","87","3280","","","",""
"","deliberation_confirmation","","html-keyboard-response","81","45639","0.0-3.0-14.0-2.0-0.0","44","50477","1","null","","","","null","","6","","","44708","","","","","","","","","","","","","","","","","1","","","","","","","","","","917","2483","931","3367","","917","",""
"","iti","","html-keyboard-response","82","45749","0.0-3.0-14.0-4.0","44","50477","1","null","","","","null","","6","","","45639","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","3400","110","4298","","100","",""
