"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","run","task","isi","is_odd_ball","no_response","acc","duration","onset","duration_time_elapsed","onset_time_elapsed","trial_duration","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","warning","scramble_acc","missed_checkup","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally"
"","iti_localizer","","html-keyboard-response","247","289521","0.0-2.0-84.0-1.0","33","97001","female","null","","","","null","","82","","","289216","1","","","","","","300","94700","305","95626","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","248","289926","0.0-2.0-85.0-0.0","33","97001","female","NaN","","","","null","NaN","83","","Stimuli/Experimental_stims/localizer/body_parts/boyd-christiansen-uVj7kewrZ-o-unsplash.jpg","289521","1","body_parts","","1","1","0","400","95000","405","95931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","249","290231","0.0-2.0-85.0-1.0","33","97001","female","null","","","","null","","83","","","289926","1","","","","","","300","95400","305","96336","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","250","290635","0.0-2.0-86.0-0.0","33","97001","female","353","","","","68","0","84","","Stimuli/Experimental_stims/localizer/body_parts/nick-page-jAGdpOGvLAA-unsplash.jpg","290231","1","body_parts","","0","0","1","400","95700","404","96641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","251","290940","0.0-2.0-86.0-1.0","33","97001","female","null","","","","null","","84","","","290635","1","","","","","","300","96100","305","97045","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","252","291346","0.0-2.0-87.0-0.0","33","97001","female","276","","","","68","0","85","","Stimuli/Experimental_stims/localizer/body_parts/lilartsy-1KkhQ8uL28g-unsplash.jpg","290940","1","body_parts","","0","0","1","400","96400","406","97350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","253","305352","0.0-2.0-87.0-1.0","33","97001","female","null","","","","null","","85","","","291346","1","","","","","","14000","96800","14006","97756","14000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","254","305759","0.0-2.0-88.0-0.0","33","97001","female","NaN","","","","null","NaN","86","","Stimuli/Experimental_stims/localizer/objects/yossy-made-yulian-WaEqwDSIeTY-unsplash.jpg","305352","1","objects","","1","1","0","400","110800","407","111762","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","255","306065","0.0-2.0-88.0-1.0","33","97001","female","null","","","","null","","86","","","305759","1","","","","","","300","111200","306","112169","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","256","306471","0.0-2.0-89.0-0.0","33","97001","female","255","","","","68","0","87","","Stimuli/Experimental_stims/localizer/objects/namroud-gorguis-FZWivbri0Xk-unsplash.jpg","306065","1","objects","","0","0","1","400","111500","406","112475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","257","306776","0.0-2.0-89.0-1.0","33","97001","female","null","","","","null","","87","","","306471","1","","","","","","300","111900","305","112881","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","258","307183","0.0-2.0-90.0-0.0","33","97001","female","320","","","","68","0","88","","Stimuli/Experimental_stims/localizer/objects/muhammad-toqeer-NRJ9ipvz2iE-unsplash.jpg","306776","1","objects","","0","0","1","400","112200","407","113186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","259","307488","0.0-2.0-90.0-1.0","33","97001","female","null","","","","null","","88","","","307183","1","","","","","","300","112600","305","113593","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","260","307893","0.0-2.0-91.0-0.0","33","97001","female","264","","","","68","0","89","","Stimuli/Experimental_stims/localizer/objects/chris-briggs-x9TCnxNBofE-unsplash.jpg","307488","1","objects","","0","0","1","400","112900","405","113898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","261","308203","0.0-2.0-91.0-1.0","33","97001","female","null","","","","null","","89","","","307893","1","","","","","","300","113300","310","114303","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","262","308608","0.0-2.0-92.0-0.0","33","97001","female","230","","","","68","0","90","","Stimuli/Experimental_stims/localizer/objects/collab-media-eddtBBbaw0Y-unsplash.jpg","308203","1","objects","","0","0","1","400","113600","405","114613","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
