,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category,pairs_rt,no_response
53,47210,0,1,3,54,intact,1,1,J,J,2400,19,45,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,0,0,NaN,0,19,3,faces,objects,650,0
54,47210,0,1,3,55,recombined,0,1,,L,2100,35,5,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,0,1,NaN,0,19,3,body_parts,outdoor_scenes,560,0
55,47210,0,1,3,56,recombined,0,0,,F,4400,6,28,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,1,0,NaN,1,19,3,outdoor_scenes,body_parts,869,0
56,47210,0,1,3,57,intact,1,0,H,H,1000,17,0,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,1,1,NaN,0,19,3,faces,outdoor_scenes,425,0
57,47210,0,1,3,58,recombined,0,0,,E,2400,8,31,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,1,0,NaN,0,19,3,outdoor_scenes,body_parts,753,0
58,47210,0,1,3,59,intact,1,0,A,A,2700,1,41,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,1,1,NaN,0,19,3,outdoor_scenes,objects,242,0
59,47210,0,1,3,60,intact,1,1,B,B,1300,11,23,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,1,1,NaN,0,19,3,outdoor_scenes,faces,617,0
60,47210,0,1,3,61,recombined,0,1,,I,4400,24,46,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,0,1,NaN,1,19,3,body_parts,objects,768,0
61,47210,0,1,3,62,recombined,0,1,,H,1100,0,13,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,1,0,NaN,0,19,3,outdoor_scenes,faces,725,0
62,47210,0,1,3,63,intact,1,1,L,L,2100,35,16,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,1,1,NaN,0,19,3,body_parts,faces,777,0
