,intact,intact_derivative,recombined,recombined_derivative,.5*intact + .5*recombined,intact - recombined,simulation,version,run,.5*recombined + .5*intact,recombined - intact
189,1.3941706511200287,2.8905791894424078,1.4493121557492716,2.832915898678678,1.1253337418163454,1.0193328622225575,40,4,1,,
190,1.6531453840099148,3.5163955043682074,1.602037926065121,3.551133644458272,1.091815718721148,1.1583818434162008,41,4,1,,
191,1.5303450319068326,2.328785086914665,1.510254070268341,2.3451156667105075,1.0438737139667864,1.0178782500443104,42,4,1,,
192,1.4391497193582952,2.4162657125436624,1.387139520351608,2.456473692202033,1.0453449516315978,1.0143602782128582,43,4,1,,
193,2.103960841205644,3.341775598358915,2.1505125887455887,3.305712145845369,,,44,4,1,1.157595410478243,1.0156873939570368
194,2.072183639507942,3.019016290913939,2.0350497545801143,3.0595291875436232,,,45,4,1,1.0364832389991019,1.0181341657198193
195,1.5058234491111384,3.1847854364127457,1.7810154446223099,2.902509790006296,,,46,4,1,1.1611673268921026,1.1974808203509908
196,1.5520406094103436,2.554378270095115,1.4965692620848348,2.605374933711973,1.0477560841783993,1.043511344582931,47,4,1,,
197,1.3636007090699471,2.3239054173086346,1.4408910799516117,2.244445648690553,1.0478202349954517,1.0695180772288988,48,4,1,,
198,1.6611985582785664,2.433778238371409,1.6237424965343392,2.460165272568154,,,49,4,1,1.1560265719764782,1.0364206333129924
199,1.5301522836046433,2.1090216128218486,1.471774579739309,2.1596847862741466,1.0953658496484795,1.0306804364904767,50,4,1,,
200,1.8540960340113353,3.364368670355127,1.7994535177001492,3.4125128952920774,1.0724592031105278,1.032939833411717,1,1,2,,
201,1.7370600629599506,2.6537220134099657,1.727491536838023,2.660059413205407,,,2,1,2,1.049150731078539,1.0418982253019031
202,1.8215428077389084,4.42385824856931,2.0464732065812785,4.221480889546185,,,3,1,2,1.1381376984242517,1.113872592427452
203,1.7433524611661833,2.793263135845672,1.684108356250176,2.8477099496444778,1.1270603855250803,1.0193811454371036,4,1,2,,
204,1.4262078298162741,2.0647030134243383,1.4181968839009766,2.0880882910711596,,,5,1,2,1.0329331536060893,1.017605534885428
205,1.9075815169712143,2.8751021677183286,1.8452310040647295,2.94181854897328,1.1623878567679458,1.0573534904673396,6,1,2,,
206,1.8021807041699198,3.2197177261412997,1.5836564861687914,3.4545837275612157,,,7,1,2,1.1819486574582065,1.1501216500472415
207,1.4992151024607872,2.7478306828926047,1.5838842447122587,2.667980727749713,1.0590016104615394,1.1197473856313207,8,1,2,,
208,1.3431207490079125,2.4739880782080257,1.3432160859793498,2.4777071527074828,,,9,1,2,1.3367209366388095,1.0102678533828782
209,1.813523796447293,3.1519848843617826,1.7930867940203732,3.1484164601992566,1.0374664537656173,1.0053204283631207,10,1,2,,
210,2.580633972216295,3.7253981467185198,2.547855475370856,3.793775949175594,,,11,1,2,1.072762819146371,1.0624999317887054
211,1.5399645826818475,3.4989529374178163,1.5800934608902188,3.449978165395948,1.088053481856498,1.0065325959606044,12,1,2,,
212,1.8531769847856616,3.3555518411604326,1.6727653467695662,3.551787680524189,,,13,1,2,1.110948924824798,1.1135322385265702
213,1.683516036206822,2.4653884372974404,1.5651513293742407,2.6040493181465587,,,14,1,2,1.1184030814119463,1.0713241605329349
214,1.5454130199488902,2.522716875948008,1.5015046913979586,2.5542291209279213,1.0593967989297983,1.0155469348000874,15,1,2,,
215,1.3788995779639226,2.536266105370742,1.4619814520720036,2.46319336696729,,,16,1,2,1.1108754424292355,1.0678677586215388
216,1.428749524585864,2.916815413659351,1.436012484805801,2.9098816716542784,,,17,1,2,1.1796508082593264,1.0023324739265524
217,1.6652392004062864,2.571667535132044,1.5890392288776918,2.6338683511254817,1.0599776789619,1.0437797663056174,18,1,2,,
218,2.0524218439408553,2.542748466491943,1.9663668082655585,2.6094373509086672,1.061652204150304,1.0648819243967462,19,1,2,,
219,2.00414838462017,3.0248320076569266,1.9521613357076595,3.0584144087438405,,,20,1,2,1.096181743295374,1.1256271465875844
220,1.5677158437939749,2.8459741189504357,1.6133897689082368,2.8007803291122215,1.1306638377971225,1.0567412230955546,21,1,2,,
221,1.5023730941296165,2.531051403032855,1.5181851386602658,2.5038313894659447,1.051828259324973,1.0094630702060858,22,1,2,,
222,1.8270185515355981,3.215537996439626,1.9276692821606647,3.1092593123707375,1.0631223271463155,1.098491134558402,23,1,2,,
223,1.6711991409415297,2.721168443636522,1.7202920475286378,2.684877461403509,1.029838606532027,1.0221694494213747,24,1,2,,
224,1.4078513733632099,2.1902105088410537,1.4675391334073984,2.1248723546827217,1.0627725060885553,1.0932956958167201,25,1,2,,
225,1.509988926160005,3.02614208410982,1.5013821491763693,3.036544771333161,1.0705227269589621,1.0106769401073563,26,1,2,,
226,1.4311985200245605,2.481180304152814,1.3736582399745543,2.534991446362857,1.0768349993333919,1.0358369824915354,27,1,2,,
227,1.5015423865746151,2.750887806602062,1.5625674534697955,2.7061269568516435,1.0452507030767884,1.029995736963492,28,1,2,,
228,1.7450547174546984,2.9778421776104107,1.6154793829489265,3.0918655253001375,,,29,1,2,1.1658050755653477,1.1219699019106932
229,1.953992858661677,2.829641709459872,1.9224459471970137,2.8389866741013834,,,30,1,2,1.0279956456706976,1.005637465481977
230,1.5043823357961605,2.5046335660854373,1.4988772893102869,2.5076627943059764,,,31,1,2,1.0214351734083995,1.0013216729709824
231,1.7301583467835908,3.259549526550441,1.7742939348839326,3.2184145465870073,1.0446343664153706,1.0471600270072703,32,1,2,,
232,1.6283266549878357,2.8802331107779855,1.7192312280921007,2.7989171416892407,1.1257519900393849,1.0421294440433198,33,1,2,,
233,1.3685899037449019,2.4587851062584902,1.445131915246042,2.395369897467711,,,34,1,2,1.1551396293412228,1.0804400416440205
234,1.9423075290657017,2.9113791696207993,1.8468677361477455,2.982317494915635,,,35,1,2,1.1601507862833427,1.0402203318501286
235,2.1283837210578804,3.7699783477470277,2.219822233669811,3.695867251849631,1.3211232320017943,1.0360558817627572,36,1,2,,
236,1.8390750038802428,3.468758562810944,1.8386359297837118,3.4464033608170155,1.0822142017440368,1.0050578265974242,37,1,2,,
237,1.5194156325712076,2.2887519094885858,1.5645054902348619,2.2329008172087494,1.0546009744671336,1.0710979632453448,38,1,2,,
238,2.1809250901418253,4.304925162149809,2.311645957500574,4.1577734090956024,,,39,1,2,1.0995215227405082,1.1177616526088898
239,1.506139209453544,2.6533765257108235,1.4337761663616617,2.730512757873215,1.0570636323270977,1.0242278249848826,40,1,2,,
240,1.699521199122445,3.230478381052136,1.5502089603280267,3.3651556820863497,,,41,1,2,1.0832998517579704,1.1079494293956877
